#[start_time end_time]
931169084.734078 931169085.534078
931169145.844576 931169146.644576
931169155.222944 931169156.022944
931169207.605468 931169208.818601
931169229.518915 931169230.580604
931169268.297519 931169269.097519
931169281.919497 931169282.719497
931169316.336488 931169316.809990
931169337.423582 931169338.363630
931169356.211523 931169357.011523
931169376.131687 931169376.931687
931169436.403785 931169437.203785
931169439.254226 931169440.054226
931169441.910330 931169442.710330
931169455.418332 931169456.218332
931169505.894869 931169506.888385
931169540.571983 931169541.371983
931169543.431490 931169543.831490
931169546.299654 931169547.099654
931169569.469105 931169570.269105
931169653.080928 931169653.880928
931169672.444014 931169673.244014
931169724.918142 931169725.718142
931169727.965274 931169728.765274
931169760.962345 931169761.762345
931169796.326052 931169797.126052
931169805.749517 931169806.149517
931169814.237248 931169815.037248
931169840.382996 931169841.182996
931169847.050049 931169847.850049
931169890.112900 931169890.912900
931169896.207019 931169897.007019
931169897.260148 931169898.060148
931169904.271295 931169905.071295
931169930.686461 931169931.486461
931169933.538728 931169934.338728
931169977.383247 931169978.183247
931169983.556994 931169984.356994
931169990.326729 931169991.126729
931169991.562654 931169992.362654
931169993.638619 931169994.438619
931170030.004472 931170030.804472
931170059.982633 931170060.782633
931170112.447004 931170113.247004
931170139.422817 931170140.222817
931170186.744231 931170187.837385
931170236.910044 931170237.710044
931170245.020022 931170245.820022
931170250.667217 931170251.467217
931170267.883478 931170268.683478
931170291.434767 931170292.234767
931170302.415407 931170303.215407
931170307.819939 931170308.619939
931170373.356095 931170374.156095
931170411.891616 931170412.691616
931170433.603330 931170434.403330
931170436.399876 931170437.199876
931170439.170829 931170439.970829
931170464.008792 931170464.808792
931170501.033566 931170501.833566
931170512.251415 931170513.051415
931170530.271174 931170531.071174
931170538.987132 931170539.787132
931170579.027389 931170579.827389
931170584.937765 931170585.737765
931170632.267345 931170633.067345
931170671.941909 931170672.741909
931170704.164260 931170704.964260
931170714.049372 931170715.500533
931170715.843983 931170716.643983
931170727.915647 931170728.315647
931170729.575203 931170730.375203
931170733.382202 931170734.182202
931170735.476406 931170736.276406
931170768.448330 931170769.248330
931170780.239827 931170780.639827
931170790.476334 931170791.276334
931170805.407290 931170806.966849
931170819.126993 931170819.526993
931170824.136884 931170824.578491
931170839.287665 931170840.087665
931170846.761354 931170847.561354
931170854.625700 931170855.425700
931170857.756141 931170858.251806
931170858.620428 931170859.020428
931170865.232406 931170866.032406
931170869.551275 931170870.543810
931170872.050987 931170872.450987
931170880.207537 931170881.007537
931170882.226932 931170882.658135
931170883.313868 931170884.147700
931170891.540039 931170892.375328
931170895.605355 931170896.005355
931170897.629800 931170898.029800
931170900.412610 931170900.812610
931170909.183094 931170909.983094
931170916.449574 931170917.249574
931170923.671192 931170924.071192
931170932.384334 931170933.184334
931170933.478598 931170934.315402
931170937.106647 931170937.906647
931170941.017486 931170941.817486
931170949.058153 931170949.858153
931170951.399772 931170952.242585
931170953.403436 931170953.803436
931170958.945085 931170959.345085
931170967.243043 931170968.096012
931170969.874748 931170970.698309
931170971.393712 931170971.793712
931170976.037500 931170976.837500
931170977.167637 931170977.967637
931170981.769495 931170982.569495
931170982.794085 931170984.094836
931173217.602516 931173218.402516
931173341.972397 931173342.772397
931173344.455497 931173345.255497
931173383.809961 931173384.609961
931173541.161691 931173541.961691
931173638.157977 931173638.957977
931173662.775394 931173663.575394
931173671.156371 931173671.956371
931173835.511708 931173836.311708
931173921.924673 931173922.724673
931173993.435112 931173994.235112
931174012.655194 931174013.455194
931174084.996348 931174085.796348
931174087.251358 931174088.051358
931174111.396757 931174112.196757
931174132.207756 931174133.007756
931174147.017003 931174147.817003
931174152.971223 931174153.771223
931174177.800742 931174178.600742
931174264.080810 931174264.880810
931174286.228581 931174287.028581
931174304.649922 931174305.449922
931174390.689996 931174391.489996
931174420.770157 931174421.570157
931174442.591695 931174443.391695
931174508.758546 931174509.558546
931174549.052436 931174549.852436
931174552.444319 931174553.244319
931174568.857169 931174569.657169
931174574.579641 931174575.379641
931174590.422851 931174591.222851
931174593.691162 931174595.103107
931174595.355012 931174595.755012
931174596.073115 931174596.473115
931174596.875076 931174597.675076
931174636.949031 931174637.749031
931174637.791817 931174639.256063
931174639.489057 931174639.889057
931174639.976310 931174640.376310
931174642.123813 931174642.923813
931174655.892932 931174657.209722
931174670.158741 931174670.945388
931174692.455569 931174693.255569
931174694.138332 931174695.312167
931174709.546003 931174711.037745
931174761.557558 931174762.357558
931174787.845579 931174788.645579
931174807.532484 931174808.052374
931174815.290993 931174816.460708
931174818.053247 931174818.853247
931174876.401700 931174877.201700
931174888.651015 931174889.451015
931174929.809971 931174930.609971
931174937.336084 931174938.136084
931174946.577899 931174947.377899
931174952.658701 931174953.458701
931174955.586685 931174956.386685
931174958.539995 931174959.339995
931174966.938029 931174967.738029
931174992.693418 931174993.493418
931175027.535037 931175028.068640
931175054.833881 931175055.633881
931175085.257904 931175086.057904
931175108.794394 931175109.594394
931175135.165831 931175135.965831
931175145.095489 931175146.458209
931175154.395273 931175155.195273
931175155.447755 931175156.247755
931175167.112948 931175167.912948
931175169.686009 931175170.486009
931175172.436836 931175173.236836
931175186.193589 931175186.993589
931175205.921947 931175206.721947
931175224.564586 931175225.364586
931175232.227523 931175233.027523
931175234.727348 931175235.527348
931175287.781903 931175288.581903
931175347.675749 931175348.475749
931175410.781131 931175411.581131
931175416.312177 931175417.112177
931175427.250918 931175428.050918
931175445.877901 931175446.677901
931175493.403402 931175494.203402
931175498.460574 931175499.260574
931175516.683325 931175517.483325
931175530.312675 931175531.112675
931175544.562242 931175545.362242
931175556.473634 931175557.273634
931175558.658307 931175559.458307
931175568.120938 931175568.920938
931175625.488135 931175626.288135
931175644.481397 931175645.281397
931175679.789435 931175680.589435
931175715.090016 931175715.890016
931175780.138355 931175780.938355
931175824.246062 931175825.046062
931175853.063999 931175853.863999
931175855.995883 931175856.795883
931175869.159539 931175869.959539
931175872.887217 931175873.687217
931175880.675575 931175881.475575
931175922.575718 931175923.375718
931175930.861154 931175931.661154
931175932.082723 931175932.882723
931175933.940025 931175934.740025
931175935.289422 931175936.089422
931175940.247540 931175941.047540
931175947.907166 931175948.707166
931175967.672328 931175968.472328
931175975.970204 931175976.770204
931175985.565222 931175986.365222
931175998.173799 931175998.973799
931176009.184556 931176009.984556
931176023.718691 931176024.518691
931176058.112565 931176058.912565
931176064.865500 931176065.665500
931176067.866769 931176068.666769
931176075.285317 931176076.085317
931176076.830454 931176077.630454
931176114.244359 931176115.044359
931176125.556015 931176126.356015
931176136.912585 931176137.712585
931176142.255611 931176143.055611
931176147.526487 931176148.326487
931176154.381131 931176155.181131
931176168.043603 931176168.843603
931176194.636877 931176195.436877
931176204.436707 931176205.236707
931176248.980591 931176250.458183
931176253.986403 931176254.786403
931176289.815609 931176290.615609
931176290.738078 931176291.538078
931176346.532680 931176347.332680
931176352.185595 931176352.985595
931176375.817356 931176376.617356
931176465.672312 931176466.472312
931176466.716828 931176467.516828
931176478.579369 931176479.379369
931176479.772480 931176480.572480
931176487.334493 931176488.134493
931176492.986839 931176493.786839
931176503.213119 931176504.013119
931176511.647937 931176512.447937
931176519.031563 931176519.831563
931176521.887217 931176522.687217
931176572.251055 931176573.051055
931176574.942994 931176575.742994
931176596.125160 931176596.925160
931176617.401219 931176618.577374
931176647.670034 931176648.470034
931176675.287584 931176676.087584
931176685.964967 931176686.764967
931176708.041649 931176708.841649
931176718.434162 931176719.234162
931176737.060233 931176737.860233
931176779.969762 931176780.769762
931176786.278815 931176787.078815
931176813.562167 931176814.362167
931176819.329918 931176820.129918
931176830.806874 931176832.002491
931176832.272078 931176833.604820
931176836.949348 931176837.757902
931176846.511186 931176847.311186
931176890.783523 931176891.583523
931176925.496921 931176926.296921
931176940.300626 931176941.100626
931176996.710802 931176997.510802
931177044.337671 931177045.265058
931177087.078435 931177087.878435
931177101.993716 931177102.793716
931177116.149243 931177116.949243
931177150.623826 931177151.423826
931177185.129114 931177185.929114
931177216.240371 931177217.040371
931177221.622088 931177222.422088
931177278.616641 931177279.416641
931177280.659261 931177281.459261
931177291.934247 931177292.734247
931177302.137417 931177302.937417
931177329.426677 931177330.226677
931177343.387921 931177344.187921
931177403.957390 931177404.757390
931177416.810787 931177417.610787
931177422.450740 931177423.250740
931177425.333729 931177426.133729
931177430.280640 931177431.080640
931177434.616829 931177435.416829
931177488.953590 931177489.753590
931177501.138597 931177501.938597
931177503.239800 931177504.039800
931177504.136587 931177505.112787
931177506.354387 931177507.154387
931177539.323103 931177540.123103
931177561.584791 931177562.384791
931177563.714287 931177564.514287
931177572.259493 931177573.059493
931177596.029414 931177596.829414
931177613.048787 931177613.848787
931177660.169367 931177661.251539
931180132.367368 931180134.317279
931180134.391986 931180135.191986
931180201.914818 931180202.714818
931180232.689046 931180233.489046
931180257.882382 931180258.682382
931180267.620282 931180268.420282
931180310.346757 931180311.146757
931180344.526578 931180345.326578
931180471.856413 931180472.656413
931180499.110132 931180499.910132
931180550.730085 931180551.530085
931180598.752003 931180599.552003
931180727.389145 931180728.189145
931180906.676589 931180907.476589
931180922.911755 931180923.711755
931180925.106501 931180925.906501
931180950.631426 931180951.431426
931180986.552335 931180987.352335
931180991.044859 931180991.844859
931181001.080547 931181001.880547
931181017.406203 931181018.206203
931181063.439906 931181064.239906
931181099.104107 931181099.904107
931181104.293764 931181105.093764
931181113.146920 931181113.946920
931181180.028372 931181180.828372
931181183.597927 931181184.397927
931181215.521329 931181216.321329
931181221.836174 931181222.636174
931181234.713254 931181235.513254
931181265.566032 931181266.366032
931181280.442282 931181281.242282
931181420.715942 931181421.515942
931181560.364547 931181561.164547
931181600.065331 931181600.865331
931181611.733493 931181612.533493
931181668.430759 931181669.230759
931181695.941141 931181696.741141
931181735.404070 931181736.204070
931181748.174394 931181748.974394
931181749.048520 931181749.848520
931181783.077723 931181784.268216
931181784.377494 931181784.941130
931181787.805278 931181788.605278
931181822.665817 931181823.642399
931181845.015837 931181846.788324
931181858.417937 931181859.217937
931181887.731702 931181888.531702
931181907.994311 931181908.794311
931181978.548086 931181979.348086
931181984.404144 931181985.204144
931182016.984914 931182017.784914
931182061.342983 931182062.142983
931182076.003941 931182076.803941
931182134.930426 931182135.730426
931182144.933846 931182145.733846
931182185.390548 931182186.190548
931182187.636740 931182188.436740
931182242.908993 931182243.708993
931182262.624021 931182263.424021
931182267.970318 931182268.770318
931182271.123094 931182271.923094
931182280.524325 931182281.324325
931182282.138055 931182282.938055
931182300.781338 931182301.581338
931182328.807240 931182329.607240
931182329.898338 931182331.265040
931182334.709821 931182335.509821
931182338.668648 931182339.468648
931182339.561508 931182339.961508
931182342.659844 931182343.459844
931182351.741316 931182352.541316
931182367.900046 931182368.700046
931182388.230308 931182389.030308
931182392.411399 931182393.211399
931182394.693777 931182395.493777
931182403.271770 931182404.071770
931182415.640069 931182416.040069
931182416.173051 931182416.973051
931182465.928860 931182466.728860
931182477.935860 931182478.735860
931182521.106507 931182521.506507
931182531.887139 931182532.687139
931182656.331286 931182657.131286
931182694.093596 931182694.893596
931182729.810511 931182730.610511
931182735.059361 931182735.859361
931182735.956547 931182736.356547
931182776.367479 931182777.167479
931182782.036555 931182782.836555
931182789.298625 931182789.698625
931182794.180152 931182794.580152
931182809.847256 931182810.647256
931182827.864329 931182828.264329
931182828.481071 931182828.881071
931182830.086930 931182830.886930
931182833.327194 931182834.127194
931182853.451142 931182853.851142
931182854.045376 931182854.845376
931182904.967102 931182905.506240
931182905.951384 931182906.351384
931182944.458477 931182945.258477
931182952.987807 931182953.787807
931182975.169465 931182975.969465
931183024.900903 931183025.700903
931183054.816145 931183055.616145
931183072.248167 931183073.048167
931183102.864552 931183103.664552
931183107.783147 931183108.583147
931183112.335201 931183113.135201
931183133.342814 931183133.742814
931183138.503033 931183139.303033
931183170.121465 931183170.921465
931183196.225098 931183197.025098
931183201.360023 931183202.160023
931183350.858285 931183351.985760
931200036.884701 931200037.684701
931200094.301027 931200095.101027
931200122.720631 931200123.120631
931200124.992937 931200125.392937
931200125.624670 931200126.424670
931200128.398154 931200129.198154
931200141.310441 931200142.110441
931200149.287193 931200150.087193
931200155.041902 931200155.841902
931200177.125630 931200177.925630
931200220.563841 931200221.363841
931200242.079007 931200242.879007
931200252.724240 931200253.524240
931200273.909402 931200274.709402
931200280.199422 931200280.999422
931200314.917013 931200315.717013
931200358.077146 931200358.477146
931200413.133495 931200413.933495
931200438.095629 931200438.895629
931200440.900709 931200441.700709
931200442.412293 931200443.563059
931200444.061126 931200444.861126
931200457.631626 931200458.431626
931200464.096726 931200464.896726
931200466.570796 931200467.767942
931200493.918723 931200495.276443
931200506.950500 931200507.750500
931200521.414302 931200522.214302
931200522.358867 931200523.158867
931200567.740603 931200568.540603
931200569.355233 931200570.155233
931200577.143403 931200577.943403
931200602.304068 931200603.104068
931200609.843105 931200610.643105
931200613.019759 931200613.819759
931200620.044011 931200620.844011
931200623.843444 931200624.643444
931200627.315165 931200627.782954
931200656.534792 931200657.334792
931200669.134830 931200669.934830
931202735.014428 931202735.814428
931202831.920581 931202832.720581
931202833.475492 931202834.275492
931202834.566448 931202835.366448
931202835.456952 931202836.256952
931202862.202003 931202863.170244
931202867.951050 931202868.787108
931202869.188494 931202869.588494
931202872.910136 931202873.710136
931202888.095279 931202888.895279
931202920.878794 931202922.371244
931202939.109444 931202939.909444
931202975.069767 931202975.869767
931203052.971606 931203053.771606
931203064.216260 931203065.016260
931203116.241034 931203117.041034
931203127.233094 931203128.033094
931203202.835600 931203203.635600
931203210.868023 931203211.668023
931203233.121579 931203233.521579
931203265.337938 931203266.137938
931203266.536554 931203267.336554
931203270.556458 931203270.956458
931203313.411862 931203314.211862
931203331.125982 931203331.925982
931203404.232778 931203404.632778
931203426.803262 931203427.603262
931203428.131916 931203428.931916
931203487.917928 931203488.717928
931203542.377218 931203543.177218
931203582.919726 931203583.719726
931203653.662830 931203654.462830
931203690.552187 931203691.352187
931203729.031283 931203729.831283
931203749.122944 931203749.922944
931203797.082777 931203797.605660
931203857.754658 931203858.554658
931203879.910027 931203880.710027
931203900.675044 931203901.475044
931203904.690458 931203906.159913
931203954.818510 931203955.218510
931203976.185477 931203976.985477
931203995.424126 931203996.224126
931204051.414071 931204052.214071
931204085.191625 931204086.011436
931204093.074015 931204093.874015
931204144.221503 931204145.021503
931204199.066603 931204199.866603
931204200.593425 931204201.393425
931204313.741422 931204314.541422
931204322.073533 931204322.873533
931204338.348929 931204339.148929
931204356.937200 931204357.737200
931204428.931005 931204429.731005
931204442.853029 931204443.653029
931204521.623531 931204522.423531
931204538.749847 931204539.549847
931204563.656990 931204564.456990
931204582.412887 931204583.212887
931204615.051408 931204615.851408
931204623.569267 931204624.369267
931204692.310197 931204693.110197
931204700.434145 931204701.234145
931204708.620923 931204709.420923
931204743.003724 931204743.803724
931204753.027240 931204753.827240
931204772.664866 931204773.464866
931204804.777983 931204805.577983
931204853.061533 931204853.861533
931204921.172331 931204921.972331
931205037.524941 931205038.324941
931205057.014260 931205057.814260
931205069.868319 931205070.668319
931205076.884779 931205077.684779
931205079.005595 931205079.805595
931205091.759686 931205092.559686
931205143.234709 931205144.034709
931205159.100256 931205159.900256
931205168.147808 931205169.021441
931205180.685781 931205181.485781
931205182.300265 931205183.100265
931205221.672885 931205222.472885
931205225.105781 931205225.905781
931205229.632799 931205230.432799
931205279.370557 931205280.170557
931205313.578596 931205314.378596
931205342.336442 931205343.136442
931205349.168666 931205349.568666
931220792.472481 931220793.472481
931220959.065289 931220960.635804
931221038.243529 931221039.386798
931221160.981984 931221162.916800
931221203.301660 931221204.101660
931221244.853096 931221245.653096
931221250.741176 931221251.541176
931221270.510425 931221272.141707
931221281.801607 931221282.801607
931221320.114349 931221320.914349
931221416.381090 931221417.181090
931221488.365485 931221489.165485
931221525.718711 931221526.518711
931221585.759887 931221586.559887
931221604.823863 931221605.623863
931221657.201097 931221658.001097
931221962.541980 931221963.341980
931221978.498994 931221979.298994
931222066.952722 931222068.363957
931222151.946761 931222152.746761
931244447.480263 931244448.280263
931244448.598873 931244449.398873
931244459.305126 931244460.105126
931244460.511906 931244460.911906
931244462.442506 931244463.488671
931244463.535799 931244464.335799
931244475.142866 931244475.942866
931244484.190114 931244484.990114
931244507.084646 931244507.884646
931244521.030616 931244521.830616
931244613.577856 931244614.377856
931244648.853839 931244650.052180
931244722.372018 931244722.772018
931244732.403375 931244733.203375
931244762.328521 931244763.128521
931244776.417956 931244776.817956
931244784.361125 931244785.161125
931244803.589791 931244804.389791
931244848.595106 931244849.395106
931244877.149013 931244877.949013
931244910.031011 931244910.831011
931244926.343042 931244927.143042
931244962.379770 931244963.179770
931245030.202616 931245031.002616
931245120.763064 931245121.563064
931245171.351843 931245172.151843
931245181.430323 931245182.230323
931245188.477083 931245189.277083
931245212.550049 931245213.350049
931245219.585821 931245220.385821
931245227.795744 931245228.656958
931245228.733609 931245229.533609
931245231.232413 931245232.032413
931245264.478587 931245265.278587
931245313.651117 931245314.451117
931245372.500036 931245373.300036
931245408.900102 931245409.700102
931245568.242312 931245569.042312
931245627.493087 931245628.293087
931245648.858466 931245649.658466
931245651.341459 931245651.998256
931245665.863793 931245666.663793
931245712.815585 931245713.615585
931245753.663793 931245754.421541
931245977.404806 931245978.449508
931245992.433138 931245993.233138
931245994.631661 931245995.431661
931246019.060687 931246019.860687
931246071.547645 931246071.947645
931246140.801651 931246141.601651
931246368.258128 931246369.058128
931246400.244819 931246401.044819
931246513.111210 931246513.911210
931246713.581099 931246713.981099
931247087.142081 931247087.942081
931247163.126263 931247163.926263
931247185.995629 931247186.795629
931247202.377317 931247203.177317
931247263.194516 931247263.994516
931247264.642648 931247265.442648
931247599.667472 931247600.467472
931247691.580329 931247692.380329
931247700.757266 931247701.557266
931247890.611371 931247891.411371
931247978.260820 931247979.060820
931248009.956054 931248010.756054
931248160.974300 931248161.774300
931248243.045995 931248244.173159
931248356.369642 931248357.169642
931248415.099033 931248415.899033
931248454.788645 931248455.588645
931248492.602849 931248493.402849
931248600.408653 931248601.208653
931248703.598708 931248704.398708
931248799.871216 931248800.671216
931249032.048027 931249032.848027
931249075.317654 931249076.117654
931249098.134212 931249098.934212
931249131.324128 931249132.124128
931249151.008015 931249151.808015
931249195.039084 931249195.839084
931249440.383337 931249441.183337
931249496.940242 931249498.046259
931249579.238052 931249580.038052
931249673.456405 931249674.256405
931250089.858564 931250090.658564
931250267.816705 931250268.616705
931250396.301654 931250397.101654
931250582.773562 931250583.573562
931250603.680286 931250604.480286
931250653.019690 931250653.819690
931250821.183282 931250821.983282
931251100.908755 931251101.708755
931251300.202579 931251301.002579
931251361.927066 931251362.727066
931251412.010612 931251413.144231
931251435.099489 931251435.899489
931251483.711286 931251484.511286
931251558.527780 931251559.327780
931251671.175417 931251671.975417
931251691.730112 931251692.530112
931251949.601815 931251950.590019
931252174.867012 931252175.667012
931252279.541913 931252280.341913
931252338.748200 931252339.548200
931252351.865995 931252352.665995
931252405.443742 931252406.243742
931252434.965006 931252435.765006
931252470.782223 931252471.582223
931252587.222440 931252588.022440
931252632.239658 931252633.039658
931252742.842442 931252743.642442
931252787.005590 931252787.805590
931252798.343935 931252799.143935
931253016.147455 931253016.947455
931253030.021358 931253030.821358
931253031.575886 931253032.375886
931253079.597725 931253080.397725
931253112.407189 931253113.207189
931253145.555242 931253146.355242
931253174.364749 931253175.164749
931253214.517444 931253215.317444
931253279.694840 931253280.494840
931253287.047114 931253287.847114
931253571.973659 931253572.773659
931253977.889791 931253978.689791
931254115.992758 931254116.792758
931254178.099722 931254178.899722
931254199.735044 931254200.535044
931254222.244679 931254223.340995
931254393.206878 931254394.006878
931254544.415885 931254545.215885
931254632.317201 931254633.117201
931254638.096846 931254638.896846
931254733.946573 931254734.746573
931254752.548554 931254753.348554
931254914.880310 931254915.680310
931254937.047640 931254937.847640
931254962.147719 931254962.947719
931254963.168676 931254963.968676
931254966.935186 931254967.735186
931255096.810379 931255097.610379
931255122.096295 931255122.919673
931255168.243919 931255169.043919
931255196.935083 931255197.735083
931255245.036456 931255245.836456
931255530.402022 931255531.202022
931255531.218818 931255532.334696
931255584.314639 931255585.114639
931255644.978100 931255645.451739
931255678.751868 931255679.551868
931255846.115731 931255846.915731
931255915.514199 931255916.551796
931255966.105268 931255966.905268
931256055.695018 931256057.028504
931256071.243791 931256072.043791
931256085.715773 931256086.515773
931256090.458302 931256091.258302
931256092.183491 931256092.983491
931256093.017984 931256093.817984
931256096.663374 931256098.730471
931256098.733417 931256099.533417
931256235.037664 931256235.837664
931256283.303236 931256284.103236
931256356.144627 931256356.944627
931256364.990581 931256365.790581
931256427.178541 931256427.978541
931256461.977040 931256463.257964
931256463.318163 931256464.118163
931256481.498940 931256482.298940
931256497.800172 931256498.812684
931256498.818392 931256499.618392
931256517.547672 931256518.815218
931256529.679098 931256531.352253
931256553.680616 931256555.390540
931256555.519710 931256556.617428
931256576.539137 931256577.339137
931256577.725938 931256578.689266
931256578.777298 931256579.577298
931256613.379743 931256614.179743
931256614.291951 931256615.091951
931256621.908164 931256622.708164
931256736.252080 931256737.052080
931256765.361823 931256766.161823
931256812.585846 931256813.385846
931256816.221851 931256817.021851
931256863.195995 931256863.995995
931256879.713731 931256880.781271
931256937.241268 931256938.041268
931257017.829706 931257018.629706
931257038.912113 931257039.574637
931257041.556728 931257041.956728
931257069.859850 931257070.659850
931257085.904043 931257086.704043
931257097.539476 931257098.339476
931257098.847955 931257099.247955
931257100.973166 931257101.773166
931257195.013839 931257195.813839
931257215.383092 931257216.183092
931257217.797638 931257218.597638
931257243.176532 931257243.976532
931257260.542137 931257261.342137
931257261.738752 931257262.406996
931257268.143224 931257268.543224
931257277.324717 931257278.124717
931257287.768524 931257288.168524
931257293.404192 931257293.981649
931257316.581083 931257317.223325
931257340.213416 931257341.013416
931257341.329308 931257341.729308
931257342.356027 931257342.756027
931257343.376659 931257344.534696
931257345.676483 931257346.076483
931257354.147871 931257354.947871
931257358.399258 931257359.199258
931257369.671789 931257370.071789
931257377.741252 931257378.541252
931257380.077382 931257380.477382
931257469.931692 931257470.650275
931257472.421732 931257473.008562
931257473.381854 931257474.181854
931257482.020793 931257483.108370
931257514.062375 931257514.462375
931257514.934454 931257515.734454
931257520.598554 931257521.583275
931257534.843215 931257535.643215
931257537.288023 931257538.122468
931257559.269528 931257560.069528
931257573.585058 931257574.385058
931257657.757445 931257658.557445
931257707.781654 931257708.181654
931257713.049010 931257713.849010
931257748.020160 931257748.820160
931257762.824164 931257763.624164
931257767.587078 931257768.387078
931257768.691231 931257769.491231
931257796.648858 931257797.448858
931257815.048292 931257815.848292
931257817.301864 931257818.101864
931257819.642100 931257820.442100
931257825.172924 931257826.111714
931257901.486116 931257901.886116
931257909.352223 931257910.152223
931257915.033629 931257915.681273
931257951.343983 931257952.143983
931257952.509522 931257953.309522
931257957.125971 931257957.865348
931258009.830187 931258010.382135
931258011.248853 931258011.648853
931258033.290296 931258034.090296
931258051.235573 931258051.937742
931258052.269755 931258053.069755
931258086.661678 931258087.461678
931258106.306494 931258107.106494
931258107.338858 931258108.138858
931258108.577293 931258109.377293
931258120.232868 931258121.032868
931258124.649607 931258125.449607
931258149.092458 931258149.892458
931258150.318821 931258150.718821
931258150.773774 931258151.173774
931258151.377374 931258152.314738
931258190.064746 931258190.864746
931258203.655410 931258204.659833
931258212.826682 931258213.626682
931258221.077889 931258221.913836
931258226.893810 931258227.560263
931258239.531146 931258240.331146
931258243.045521 931258243.845521
931258258.221284 931258259.021284
931258259.417240 931258261.267822
931258270.513562 931258271.313562
931258276.553731 931258277.353731
931258278.688038 931258279.159319
931258279.672314 931258280.072314
931258280.491877 931258281.642924
931258281.817213 931258282.217213
931258282.765619 931258283.565619
931262834.933308 931262835.733308
931262873.757771 931262874.557771
931262949.617148 931262950.417148
931263023.786001 931263024.586001
931263052.346346 931263053.146346
931263072.555323 931263073.355323
931263302.821496 931263303.621496
931263303.677804 931263304.477804
931263345.064689 931263345.864689
931263374.862633 931263375.662633
931263467.224784 931263468.024784
931263496.147091 931263496.947091
931263582.943291 931263583.743291
931263587.871522 931263588.671522
931263645.458942 931263646.258942
931263676.862542 931263677.662542
931263705.692233 931263706.492233
931263721.494068 931263722.294068
931263724.360456 931263725.160456
931263727.770039 931263728.320278
931263736.408340 931263737.208340
931263747.550025 931263748.350025
931263768.917437 931263769.717437
931263797.731118 931263798.531118
931263798.795852 931263799.595852
931263820.771130 931263821.571130
931263826.911266 931263827.711266
931263852.763392 931263853.563392
931263905.712898 931263906.512898
931263921.223618 931263922.023618
931263946.169231 931263946.969231
931263992.044560 931263992.844560
931264013.534147 931264014.334147
931264050.186359 931264050.986359
931264067.015888 931264067.815888
931264088.446256 931264089.246256
931264094.627436 931264095.427436
931264099.304490 931264100.104490
931264121.679794 931264122.479794
931264123.505945 931264123.905945
931264147.778809 931264148.578809
931264182.040668 931264182.840668
931264275.105519 931264275.905519
931264282.115922 931264282.915922
931264283.194959 931264283.994959
931264316.510309 931264317.310309
931264330.506709 931264331.306709
931264345.586680 931264346.402021
931264401.932403 931264402.732403
931264416.030621 931264416.830621
931264425.895863 931264426.695863
931264429.721039 931264430.521039
931264432.403158 931264433.203158
931264446.173220 931264446.973220
931264459.203731 931264460.003731
931264460.253765 931264461.053765
931264506.057929 931264506.857929
931264511.237477 931264512.037477
931264527.277905 931264528.077905
931264530.999855 931264531.799855
931264536.058628 931264536.858628
931264538.770788 931264539.570788
931264564.223092 931264565.320998
931264584.986202 931264585.786202
931264606.396081 931264607.196081
931264613.439678 931264614.725850
931264618.044512 931264618.444512
931264650.231372 931264651.031372
931264655.156798 931264655.956798
931264660.625223 931264661.425223
931264778.202054 931264779.002054
